ID_Venda,Data,Produto,Categoria,Quantidade,Preco_Unitario,Valor_Total,Vendedor,Regiao,Status
1,2025-01-05,Notebook Dell,Eletrônicos,2,3500.00,7000.00,João Silva,Sudeste,Concluída
2,2025-01-08,Mouse Logitech,Periféricos,5,85.00,425.00,Maria Santos,Norte,Concluída
3,2025-01-10,Teclado Mecânico,Periféricos,3,450.00,1350.00,João Silva,Nordeste,Concluída
4,2025-01-12,Monitor LG 27,Monitores,1,1200.00,1200.00,Carlos Oliveira,Sul,Concluída
5,2025-01-15,Webcam HD,Periféricos,4,200.00,800.00,Ana Costa,Sudeste,Concluída
6,2025-01-18,Fone Bluetooth,Acessórios,8,150.00,1200.00,Maria Santos,Centro-Oeste,Concluída
7,2025-01-20,SSD 1TB,Armazenamento,2,600.00,1200.00,João Silva,Sudeste,Concluída
8,2025-01-22,Processador Intel,Hardware,1,2000.00,2000.00,Carlos Oliveira,Nordeste,Concluída
9,2025-01-25,Placa Mãe,Hardware,1,800.00,800.00,Ana Costa,Sul,Concluída
10,2025-01-28,RAM 16GB,Hardware,3,350.00,1050.00,Maria Santos,Norte,Concluída
11,2025-02-01,Fonte 750W,Hardware,2,450.00,900.00,João Silva,Sudeste,Concluída
12,2025-02-03,Impressora HP,Periféricos,1,800.00,800.00,Carlos Oliveira,Nordeste,Concluída
13,2025-02-05,Scanner,Periféricos,1,600.00,600.00,Ana Costa,Centro-Oeste,Concluída
14,2025-02-08,Tablet Samsung,Eletrônicos,2,1500.00,3000.00,Maria Santos,Sudeste,Concluída
15,2025-02-10,Smartphone Xiaomi,Eletrônicos,4,1200.00,4800.00,João Silva,Norte,Concluída
16,2025-02-12,Headset Gamer,Acessórios,5,250.00,1250.00,Carlos Oliveira,Nordeste,Concluída
17,2025-02-15,Mousepad Grande,Acessórios,10,45.00,450.00,Ana Costa,Sul,Concluída
18,2025-02-18,Suporte Monitor,Acessórios,6,80.00,480.00,Maria Santos,Sudeste,Concluída
19,2025-02-20,Hub USB,Periféricos,7,120.00,840.00,João Silva,Centro-Oeste,Concluída
20,2025-02-22,Cabo HDMI,Acessórios,15,35.00,525.00,Carlos Oliveira,Sudeste,Concluída
21,2025-02-25,Monitor Curvo,Monitores,1,1800.00,1800.00,Ana Costa,Norte,Concluída
22,2025-02-28,GPU RTX 3060,Hardware,1,3500.00,3500.00,Maria Santos,Nordeste,Concluída
23,2025-03-02,Switch KVM,Periféricos,2,300.00,600.00,João Silva,Sudeste,Concluída
24,2025-03-05,Cabo Ethernet,Acessórios,20,25.00,500.00,Carlos Oliveira,Sul,Concluída
25,2025-03-08,Roteador Wi-Fi,Eletrônicos,3,350.00,1050.00,Ana Costa,Centro-Oeste,Concluída
26,2025-03-10,Câmera Segurança,Eletrônicos,4,450.00,1800.00,Maria Santos,Sudeste,Concluída
27,2025-03-12,Smartwatch,Eletrônicos,2,800.00,1600.00,João Silva,Norte,Concluída
28,2025-03-15,Carregador Rápido,Acessórios,12,120.00,1440.00,Carlos Oliveira,Nordeste,Concluída
29,2025-03-18,Bateria Externa,Acessórios,6,180.00,1080.00,Ana Costa,Sudeste,Concluída
30,2025-03-20,Estabilizador,Hardware,1,450.00,450.00,Maria Santos,Sul,Concluída
31,2025-03-22,Ventilador Cooler,Hardware,8,90.00,720.00,João Silva,Centro-Oeste,Concluída
32,2025-03-25,Case RGB,Hardware,3,280.00,840.00,Carlos Oliveira,Sudeste,Concluída
33,2025-03-28,Teclado Sem Fio,Periféricos,4,350.00,1400.00,Ana Costa,Norte,Concluída
34,2025-04-01,Monitor 4K,Monitores,1,2500.00,2500.00,Maria Santos,Nordeste,Concluída
35,2025-04-05,Notebook Gamer,Eletrônicos,1,6000.00,6000.00,João Silva,Sudeste,Concluída
36,2025-04-08,Desktop Completo,Eletrônicos,1,8000.00,8000.00,Carlos Oliveira,Sul,Concluída
37,2025-04-10,Projetor 1080p,Eletrônicos,2,1200.00,2400.00,Ana Costa,Centro-Oeste,Concluída
38,2025-04-12,Tela Interativa,Eletrônicos,1,3500.00,3500.00,Maria Santos,Sudeste,Concluída
39,2025-04-15,Câmera Webcam,Periféricos,5,280.00,1400.00,João Silva,Norte,Concluída
40,2025-04-18,Microfone Profissional,Periféricos,2,600.00,1200.00,Carlos Oliveira,Nordeste,Concluída
